,MAE,RMSE,R2,CV_R2_Mean,CV_R2_Std
Linear Regression,51267.24543986492,74368.74444230851,0.5779401513755005,0.6630791625051258,0.012056744703761352
Ridge Regression,51273.09265382364,74372.51009495319,0.577897408391606,0.6630921447162162,0.012059995146993746
Lasso Regression,51267.30552448042,74368.68987647095,0.5779407707228046,0.6630794412567853,0.012056202972605325
Random Forest,32011.7683605864,49098.42045780215,0.8160379750536202,0.8136644185061652,0.005175573791584375
XGBoost,28878.004924448887,44643.46421960209,0.8479071091070851,0.8459168733506328,0.005705145920013141
Gradient Boosting,36132.608457568844,53202.3154595318,0.7839997727995426,0.7950551471302351,0.004745506984061428
